date,portfolio_value,reward,unscaled_reward,cash,transaction_costs,trades,turbulence,risk_off,selected_model
2023-05-11,1065164.68979081,-0.5860892524672207,-5860.8925246722065,0.0,775.3695576836219,102,17.742412631171188,False,a2c
2023-05-12,1060221.6875679768,-0.4943002222833224,-4943.002222833224,0.0,775.3695576836219,102,50.072378469578,False,a2c
2023-05-15,1060246.7718902193,0.0025084322242531925,25.084322242531925,0.0,777.5834476129202,104,11.436224070586025,False,a2c
2023-05-16,1051304.6170807993,-0.8942154809419998,-8942.154809419997,0.0,779.2139935451036,106,8.038729035274624,False,a2c
2023-05-17,1059547.1275516332,0.8242510470833863,8242.510470833862,0.0,779.2139935451036,106,17.65757511927638,False,a2c
2023-05-18,1069005.9447476575,0.945881719602435,9458.817196024349,0.0,781.5353899697672,108,18.91829957640753,False,a2c
2023-05-19,1058499.9234085223,-1.0506021339135245,-10506.021339135244,0.0,783.8819598463206,110,14.833794187608481,False,a2c
2023-05-22,1045112.933325626,-1.3386990082896315,-13386.990082896315,0.0,786.2231469235719,112,13.984044301734905,False,a2c
2023-05-23,1032633.6158348701,-1.2479317490755815,-12479.317490755813,0.0,790.227520264052,114,38.871016024212295,False,a2c
2023-05-24,1027718.104452818,-0.4915511382052093,-4915.511382052093,0.0,791.833034105782,116,29.310775061466835,False,a2c
2023-05-25,1030846.5275975805,0.31284231447624045,3128.4231447624043,0.0,791.833034105782,116,18.11343797357665,False,a2c
2023-05-26,1039663.909229286,0.8817381631705561,8817.38163170556,0.0,791.833034105782,116,137.4635388604851,False,a2c
2023-05-30,1036151.1239828984,-0.35127852463875897,-3512.7852463875897,0.0,791.833034105782,116,21.34586136312895,False,a2c
2023-05-31,1032000.8961026443,-0.41502278802541553,-4150.227880254155,0.0,791.833034105782,116,20.33284934764629,False,a2c
2023-06-01,1029610.3627462615,-0.23905333563827444,-2390.5333563827444,0.0,791.833034105782,116,27.303746522810496,False,a2c
2023-06-02,1049716.8864860376,2.010652373977611,20106.52373977611,0.0,791.833034105782,116,59.376416237883305,False,a2c
2023-06-05,1041692.9204091621,-0.8023966076875572,-8023.966076875571,0.0,791.833034105782,116,89.29611177326537,False,a2c
2023-06-06,1041286.8196519505,-0.04061007572115632,-406.1007572115632,0.0,791.833034105782,116,22.775727156282557,False,a2c
2023-06-07,1033736.82738491,-0.7549992267040536,-7549.992267040536,0.0,791.833034105782,116,21.22926632896889,False,a2c
2023-06-08,1038887.1295450326,0.5150302160122665,5150.302160122665,0.0,791.833034105782,116,37.19742154955682,False,a2c
2023-06-09,1043297.250756474,0.441012121144135,4410.12121144135,0.0,791.833034105782,116,19.944281741027616,False,a2c
2023-06-12,1047102.1528487398,0.380490209226578,3804.9020922657796,0.0,791.833034105782,116,6.826302995391488,False,a2c
2023-06-13,1048165.4635527604,0.1063310704020667,1063.310704020667,0.0,791.833034105782,116,12.950266150467293,False,a2c
2023-06-14,1063371.8864020407,1.5206422849280294,15206.422849280294,0.0,791.833034105782,116,21.186033068594497,False,a2c
2023-06-15,1076220.1417731629,1.2848255371122157,12848.255371122157,0.0,791.833034105782,116,57.25726498251986,False,a2c
2023-06-16,1074177.0785484803,-0.20430632246825844,-2043.0632246825844,0.0,791.833034105782,116,20.08400604397453,False,a2c
2023-06-20,1062851.2546568548,-1.1325823891625508,-11325.823891625509,0.0,791.833034105782,116,14.070370052018479,False,a2c
2023-06-21,1058898.4609935717,-0.3952793663283112,-3952.7936632831115,0.0,791.833034105782,116,31.7499174885977,False,a2c
2023-06-22,1068085.4979121918,0.9187036918620114,9187.036918620113,0.0,791.833034105782,116,18.239266518247902,False,a2c
2023-06-23,1059461.0418854721,-0.862445602671965,-8624.45602671965,0.0,791.833034105782,116,22.772821451920315,False,a2c
2023-06-26,1058931.2083736171,-0.05298335118549876,-529.8335118549876,0.0,791.833034105782,116,13.272192292665302,False,a2c
2023-06-27,1069352.4312316335,1.042122285801638,10421.22285801638,0.0,791.833034105782,116,30.37611912458479,False,a2c
2023-06-28,1068870.3343864584,-0.048209684517513965,-482.0968451751396,0.0,791.833034105782,116,16.545761867174,False,a2c
2023-06-29,1070658.7258270304,0.17883914405719845,1788.3914405719843,0.0,791.833034105782,116,22.173723520110194,False,a2c
2023-06-30,1074978.7371941763,0.4320011367145926,4320.011367145926,0.0,791.833034105782,116,30.843216227612437,False,a2c
2023-07-03,1072249.3540235292,-0.2729383170647081,-2729.383170647081,0.0,791.833034105782,116,23.440498872899305,False,a2c
2023-07-05,1067990.5586889514,-0.42587953345777935,-4258.795334577793,0.0,791.833034105782,116,20.41263934323746,False,a2c
2023-07-07,1047513.7784029212,-1.1163133015870932,-11163.133015870932,0.0,37.0219415450584,15,18.284962752591483,False,ppo
2023-07-10,1051744.9432231158,0.4231164820194594,4231.164820194594,0.0,80.28528529032785,31,16.819336552972377,False,ppo
2023-07-11,1060544.186368782,0.8799243145666319,8799.243145666318,0.0,107.17433561133382,42,39.928709686498735,False,ppo
2023-07-12,1067916.3189696549,0.7372132600872777,7372.1326008727765,0.0,130.0638256326503,52,28.796278214780397,False,ppo
2023-07-13,1072195.4481742107,0.42791292045558804,4279.12920455588,0.0,152.27506423061297,62,28.291521078629387,False,ppo
2023-07-14,1073231.9185963785,0.10364704221677967,1036.4704221677966,0.0,175.622217334824,74,21.379444121698253,False,ppo
2023-07-17,1074191.7088515742,0.09597902551956941,959.790255195694,0.0,195.94428879534058,85,70.4336587758952,False,ppo
2023-07-18,1084855.0788263555,1.0663369974781294,10663.369974781293,0.0,222.02297370895377,94,66.08056427730558,False,ppo
2023-07-19,1086673.351664019,0.18182728376635351,1818.272837663535,5.605193857299268e-45,251.30495127597078,113,69.49148404269322,False,ppo
2023-07-20,1080444.2569996133,-0.6229094664405799,-6229.0946644057985,0.0,282.4567716675066,126,40.87635352939338,False,ppo
2023-07-21,1084881.5200939414,0.4437263094328111,4437.263094328111,0.0,312.29151642960045,137,99.37802983621255,False,ppo
2023-07-24,1086317.7546380362,0.14362345440948848,1436.2345440948848,0.0,343.8273569687166,150,25.02556343636952,False,ppo
2023-07-25,1089868.0912507167,0.35503366126804614,3550.3366126804613,0.0,375.12668057332786,161,19.34062934044882,False,ppo
2023-07-26,1084881.0352277127,-0.49870560230039995,-4987.056023003999,0.0,406.3548647102537,173,41.71767192960108,False,ppo
2023-07-27,1067901.4707993944,-1.6979564428318292,-16979.564428318292,0.0,442.94929948647194,185,66.4631599421354,False,ppo
2023-07-28,1081184.6025004731,1.3283131701078732,13283.131701078732,0.0,469.1178323140789,198,99.81560257193722,False,ppo
2023-07-31,1080539.327233117,-0.06452752673560753,-645.2752673560753,0.0,492.7907421337781,209,33.963074983066775,False,ppo
2023-08-01,1078046.1248253724,-0.24932024077447132,-2493.202407744713,0.0,518.590288767856,220,45.00995203224541,False,ppo
2023-08-02,1066626.498214003,-1.141962661136943,-11419.62661136943,0.0,544.2874962293706,231,87.2272001743069,False,ppo
2023-08-03,1066190.2429740804,-0.04362552399225533,-436.2552399225533,0.0,573.6102659155305,241,12.763965384257247,False,ppo
2023-08-04,1065235.9648383416,-0.09542781357388012,-954.2781357388012,0.0,596.9668092772192,247,17.739431530096287,False,ppo
2023-08-07,1077700.9139614066,1.2464949123064988,12464.949123064987,0.0,620.774639906699,254,112.73528086120672,False,ppo
2023-08-08,1073649.575817564,-0.4051338143842528,-4051.3381438425276,0.0,637.1590113172082,260,25.973831624719097,False,ppo
2023-08-09,1070860.3338297196,-0.27892419878444635,-2789.2419878444634,0.0,641.6589674512518,264,26.609585590374515,False,ppo
2023-08-10,1069872.2641976713,-0.09880696320482531,-988.069632048253,0.0,646.1627831296153,268,13.267746707060992,False,ppo
2023-08-11,1070416.443797896,0.054417960022459744,544.1796002245974,0.0,653.2763035961642,274,15.87150685434541,False,ppo
2023-08-14,1068865.5734992235,-0.15508702986724676,-1550.8702986724675,0.0,659.7889335541444,280,16.57448498428913,False,ppo
2023-08-15,1061766.9531521453,-0.7098620347078192,-7098.620347078191,0.0,666.2677726449614,285,17.189451046153994,False,ppo
2023-08-16,1058043.0142942176,-0.37239388579276855,-3723.938857927685,0.0,673.3796412928199,288,16.947347930636916,False,ppo
2023-08-17,1047734.6428677269,-1.030837142649072,-10308.371426490718,0.0,679.7707229063852,291,10.983072747996989,False,ppo
2023-08-18,1048900.599186376,0.11659563186491141,1165.956318649114,0.0,686.1131488911799,298,41.269363563091794,False,ppo
2023-08-21,1045946.0891259429,-0.29545100604330654,-2954.510060433065,0.0,689.8967256997297,301,8.657406305720876,False,ppo
2023-08-22,1041973.5755434015,-0.3972513582541375,-3972.5135825413745,0.0,693.6467265434442,306,29.9445122960267,False,ppo
2023-08-23,1043648.851499632,0.1675275956230471,1675.2759562304707,0.0,697.3611022096222,311,17.493834565763436,False,ppo
2023-08-24,1033673.9314572983,-0.9974920042333659,-9974.920042333659,0.0,701.0341829404629,315,39.05971214915394,False,ppo
2023-08-25,1040604.3025515048,0.6930371094206464,6930.3710942064645,0.0,704.6675398092588,320,26.32973605574694,False,ppo
2023-08-28,1044003.5062420932,0.3399203690588358,3399.2036905883583,0.0,708.3348513980798,323,17.753221609274625,False,ppo
2023-08-29,1054761.3146557952,1.0757808413702064,10757.808413702063,0.0,712.0347688674485,326,21.149530592024732,False,ppo
2023-08-30,1055793.4908211483,0.10321761653530412,1032.1761653530411,0.0,718.9794865055871,330,24.058076102598243,False,ppo
2023-08-31,1054825.7444159477,-0.09677464052005672,-967.7464052005671,0.0,725.9458255605185,336,7.785007377139129,False,ppo
2023-09-01,1057418.4591150002,0.25927146990525074,2592.714699052507,0.0,732.8582237636607,342,27.44391580900107,False,ppo
2023-09-05,1049905.8853546758,-0.7512573760324391,-7512.573760324391,0.0,739.8534699138376,346,18.172481802708212,False,ppo
2023-09-06,1047027.9941568284,-0.28778911978474353,-2877.8911978474353,0.0,746.7727891676102,350,23.535487782124402,False,ppo
2023-09-07,1047131.4850108542,0.010349085402581842,103.49085402581842,0.0,753.5638847041051,354,29.189886627723546,False,ppo
2023-09-08,1049785.6031440685,0.26541181332143027,2654.1181332143024,0.0,758.8636335170338,358,29.70033640782463,False,ppo
2023-09-11,1056937.5965372007,0.7151993393132231,7151.99339313223,0.0,761.9101336271932,362,16.314158546387564,False,ppo
2023-09-12,1048051.7565893689,-0.8885839947831817,-8885.839947831817,0.0,765.9216454867187,365,19.261185804258513,False,ppo
2023-09-13,1052305.8622629442,0.42541056735753086,4254.105673575308,0.0,769.9821250557766,369,26.98688556420595,False,ppo
2023-09-14,1061049.1346116283,0.8743272348684026,8743.272348684026,0.0,774.6242854954436,372,48.912792369501304,False,ppo
2023-09-15,1048701.3335815936,-1.2347801030034666,-12347.801030034665,0.0,775.7355141594169,374,33.65816024102276,False,ppo
2023-09-18,1048130.8701006051,-0.05704634809885174,-570.4634809885174,0.0,779.4245309396861,377,29.104356680376682,False,ppo
2023-09-19,1046097.6224862027,-0.2033247614402324,-2033.247614402324,0.0,783.1128493530609,380,22.537390784762817,False,ppo
2023-09-20,1041712.6975412155,-0.4384924944987288,-4384.924944987288,0.0,784.8688612262816,382,12.813082007623393,False,ppo
2023-09-21,1029940.0811062944,-1.1772616434921046,-11772.616434921045,0.0,787.2063312677444,385,28.420462529129736,False,ppo
2023-09-22,1024905.483004942,-0.5034598101352458,-5034.598101352457,0.0,790.0275247693183,393,35.330990649237705,False,ppo
2023-09-25,1023801.3133453284,-0.11041696596135153,-1104.1696596135153,0.0,792.8247501273416,396,11.476006215898305,False,ppo
2023-09-26,1015082.1428840925,-0.8719170461235918,-8719.170461235917,0.0,795.6438276272796,399,15.794606805312068,False,ppo
2023-09-27,1008510.6626086147,-0.6571480275477866,-6571.480275477866,0.0,803.4473067719616,405,17.763130861009607,False,ppo
2023-09-28,1009713.5817011107,0.12029190924960421,1202.9190924960421,0.0,815.1913440023823,410,14.000315029081285,False,ppo
2023-09-29,1014846.8819463259,0.5133300245215185,5133.300245215185,0.0,823.9416588837059,414,24.024212655238202,False,ppo
